CVEGEO,Nombre,VPC_2003,VPC_2004,VPC_2005,VPC_2006,VPC_2007,VPC_2008,VPC_2009,VPC_2010,VPC_2011,VPC_2012,VPC_2013,VPC_2014,VPC_2015,VPC_2016
20554,Totontepec Villa de Morelos,7685,9196,8315,10782,13120,12941,12462,12204,13308,12901,11747,12116,9395,10320
20555,Trinidad Zaachila,9099,5621,5974,7250,14598,15754,11241,14973,14180,14259,12260,11419,11304,10320
20556,La Trinidad Vista Hermosa,304,151,470,111,608,757,425,1213,1527,1473,861,986,614,817
20557,Unión Hidalgo,8437,8536,14332,25003,33683,29139,28500,24567,32196,38340,29401,29877,24890,40394
20558,Valerio Trujano,5909,4942,2878,3890,5031,4142,4916,5817,5276,3431,4313,4389,3743,4473
20559,San Juan Bautista Valle Nacional,87662,74601,70467,51697,147227,83094,78093,72704,108160,109811,142187,121698,115444,123794
20560,Villa Díaz Ordaz,6725,1731,5542,4117,4582,4171,2208,7470,5996,9497,6478,7098,7555,7797
20561,Yaxe,18120,16076,10762,10557,15524,19481,16185,24878,24754,21979,16044,16222,15203,13676
20562,Magdalena Yodocono de Porfirio Díaz,999,1991,492,1087,1724,2380,3568,1976,3492,3055,2343,2780,2423,2445
20563,Yogana,1147,1586,1676,1688,2293,2175,562,5558,5486,7049,7713,4122,6181,5522
20564,Yutanduchi de Guerrero,42,59,1271,2295,4122,356,7001,5645,7366,6925,5481,6780,2768,4824
20565,Villa de Zaachila,26807,17639,18957,20717,35531,24573,18891,23383,21864,28401,16894,20038,25356,27024
20566,San Mateo Yucutindoo,6107,10450,16825,16927,19153,18156,13598,17035,17087,17868,18078,16250,19358,17744
20567,Zapotitlán Lagunas,3505,3568,472,2628,5556,5168,2086,5765,2804,8527,5660,4766,3994,3631
20568,Zapotitlán Palmas,382,1056,599,1166,1426,1445,813,1574,1243,2381,1963,1884,1516,1473
20569,Santa Inés de Zaragoza,2605,2438,1759,4638,7126,9720,20365,8486,12332,11781,9170,3191,3382,9032
20570,Zimatlán de Álvarez,62824,37516,28483,52985,90508,74692,63695,83204,88200,83659,50948,50635,56748,52277
