CVEGEO,Nombre,VPC_2003,VPC_2004,VPC_2005,VPC_2006,VPC_2007,VPC_2008,VPC_2009,VPC_2010,VPC_2011,VPC_2012,VPC_2013,VPC_2014,VPC_2015,VPC_2016
20372,Santa Catarina Yosonotú,2251,1738,1204,2170,2232,2751,2376,1888,1320,2177,2628,2418,2382,2756
20373,Santa Catarina Zapoquila,390,714,128,0,273,364,209,458,289,437,339,423,273,248
20374,Santa Cruz Acatepec,796,700,879,813,1308,1476,1369,1389,1640,1773,1782,1649,1543,1729
20375,Santa Cruz Amilpas,337,336,216,55,294,213,1603,1364,1234,1510,234,226,180,159
20376,Santa Cruz de Bravo,25,97,42,0,104,93,44,183,83,184,164,162,158,130
20377,Santa Cruz Itundujia,2438,4115,3468,4718,15073,7033,5637,6614,6694,6765,9067,10040,10115,10362
20378,Santa Cruz Mixtepec,23712,12229,14235,15773,20475,16388,13789,13720,13143,14221,13428,15011,13514,10966
20379,Santa Cruz Nundaco,828,1327,992,1852,2152,2228,1949,1762,1328,2185,2304,3000,3155,4283
20380,Santa Cruz Papalutla,3538,1089,2647,3517,2576,3103,3059,3207,3763,5190,5206,6908,8275,7914
20381,Santa Cruz Tacache de Mina,3814,3807,2166,1714,2391,2702,2007,4542,3738,3746,2853,1972,1977,2578
20382,Santa Cruz Tacahua,498,1026,807,1691,1567,1713,1470,1278,1192,1675,1934,1720,1671,1865
20383,Santa Cruz Tayata,382,1657,795,3298,2529,2581,5735,2251,2335,2880,3480,2283,2517,3014
20384,Santa Cruz Xitla,2013,1336,2210,5068,5876,3406,1196,4204,4030,5532,4934,4805,6157,5362
20385,Santa Cruz Xoxocotlán,9783,5290,3249,3359,6466,5086,4734,6040,5393,7455,6051,6137,11580,10085
20386,Santa Cruz Zenzontepec,9698,11814,6315,21809,19077,23072,9455,19480,24737,29701,27001,23895,25631,23176
20387,Santa Gertrudis,27714,12286,22315,19831,22532,21266,16815,30027,23168,31118,23649,21408,21233,19082
20388,Santa Inés del Monte,2322,2787,2764,4018,10415,8130,4227,8514,8254,8586,5179,5899,5457,7459
20389,Santa Inés Yatzeche,18805,5870,3842,3750,4089,4060,3015,3067,1826,2844,2636,1679,1516,1376
20390,Santa Lucía del Camino,478,114,141,83,225,144,96,189,166,195,35,128,92,102
20391,Santa Lucía Miahuatlán,152,286,1088,794,1408,1679,230,2572,2118,2169,1890,2093,2750,2729
20392,Santa Lucía Monteverde,5484,9682,8566,13875,20690,16843,16718,13896,16435,17436,22007,21680,20361,20509
20393,Santa Lucía Ocotlán,6092,3752,4001,4663,7023,5673,2146,6863,6361,8496,5628,6166,10318,9165
20394,Santa María Alotepec,8123,10357,9843,11103,13983,12862,13463,13335,14770,13552,14308,17651,10242,10967
20395,Santa María Apazco,1555,1846,1408,2025,2880,1389,3428,451,3768,3588,2019,1523,1688,3811
20396,Santa María la Asunción,2288,2444,3330,2709,4310,4800,4445,4611,5579,2892,3170,2722,2579,2867
20397,Heroica Ciudad de Tlaxiaco,8026,6753,5606,13066,10172,9347,10253,8632,10083,7986,9662,10756,10871,11324
20398,Ayoquezco de Aldama,17470,7881,20085,12495,26608,27939,18029,24611,28510,35627,22619,16897,23909,24165
20399,Santa María Atzompa,2729,1558,2795,2662,8766,7021,5718,10631,8643,20249,21802,18422,21226,19814
20400,Santa María Camotlán,2841,1764,1517,3704,3561,4103,3807,8982,8411,9031,9199,6399,6717,7404
20401,Santa María Colotepec,58119,57497,45251,26232,53322,55794,53098,98860,104987,133225,105460,111494,119506,141261
20402,Santa María Cortijo,9640,7120,4223,4261,4812,5435,5456,5406,5634,6148,6268,6443,10132,11101
20403,Santa María Coyotepec,323,863,678,814,1820,2256,2608,2588,2064,1788,1300,1156,1227,991
20404,Santa María Chachoápam,3172,3478,3415,6939,9193,9744,13926,7673,13542,12145,8498,9502,9670,10275
20405,Villa de Chilapa de Díaz,2109,963,980,1301,1358,1386,1077,1545,1798,1763,1196,1605,1630,1257
20406,Santa María Chilchotla,23150,23889,24512,31025,39806,45839,45517,48368,54506,36687,38576,34834,29358,34548
20407,Santa María Chimalapa,16594,24251,42179,43538,53738,50448,45749,51008,73402,83860,123294,125780,138479,135801
20408,Santa María del Rosario,340,484,444,1176,1023,1166,1021,948,885,1160,1422,1219,1113,1151
20409,Santa María del Tule,369,1593,2281,1903,4983,5702,4010,5945,5587,6329,5281,5259,4984,4656
20410,Santa María Ecatepec,61982,11087,21578,23147,15203,25329,23639,27257,29897,25186,22857,33949,27098,33727
20411,Santa María Guelacé,2395,1009,1175,1080,1018,979,1583,1935,1753,3115,2000,3542,3720,4062
20412,Santa María Guienagati,2661,5923,17228,19198,23502,21261,26017,24967,23352,28362,22754,26086,28271,27962
20413,Santa María Huatulco,45390,32338,39115,23758,34612,50089,56245,54247,78350,73730,47480,49985,59309,74768
