CVEGEO,Nombre,APM_1994,APM_1995,APM_1996,APM_1997,APM_1998,APM_1999,APM_2000,APM_2001,APM_2002,APM_2003,APM_2004,APM_2005,APM_2006,APM_2007,APM_2008,APM_2009,APM_2010,APM_2011,APM_2012,APM_2013,APM_2014,APM_2015,APM_2016
20182,San Juan Bautista Tlacoatzintepec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20183,San Juan Bautista Tlachichilco,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20184,San Juan Bautista Tuxtepec,,0,0,0,0,4699,793,9088,49946,6870,38193,37007,17876,9742,5887,14289,11654,5437,0,0,0,0,0
20185,San Juan Cacahuatepec,,0,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20186,San Juan Cieneguilla,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20187,San Juan Coatzóspam,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20188,San Juan Colorado,,5343,4756,15222,6138,0,2724,3360,0,0,0,0,0,0,0,0,0,0,1770,1687,2036,1963,16231
20189,San Juan Comaltepec,,0,0,0,0,0,0,0,0,0,0,0,4670,0,0,4353,0,0,3143,3934,2873,2753,0
20190,San Juan Cotzocón,,28315,0,12520,20746,26083,30692,19899,31820,19349,56989,10812,22747,16417,23953,18232,7779,2083,5152,6029,5851,5923,5970
20191,San Juan Chicomezúchil,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20192,San Juan Chilateca,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20193,San Juan del Estado,,0,0,0,0,0,0,0,10694,23088,0,15410,0,46582,39723,49099,1340,10002,380,545,1117,261,36616
20194,San Juan del Río,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,16,0
20195,San Juan Diuxi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20196,San Juan Evangelista Analco,,0,0,0,0,3387,0,0,0,0,0,0,371,0,351,811,0,591,0,2185,2045,2270,2596
20197,San Juan Guelavía,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20198,San Juan Guichicovi,,0,772,3203,2340,9859,1167,2586,0,2265,2419,0,16616,0,0,21,0,0,2954,2871,2502,2353,2820
20199,San Juan Ihualtepec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200,San Juan Juquila Mixes,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201,San Juan Juquila Vijanos,,0,0,0,712,1721,0,4627,0,3297,0,0,0,0,0,0,0,430,0,0,0,0,0
20202,San Juan Lachao,,0,1098,0,7697,10000,45210,8870,6300,2523,2263,0,113,773,0,0,0,11150,11781,11324,12675,11078,9807
20203,San Juan Lachigalla,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,805,2451,2686,3015,5246,4226
20204,San Juan Lajarcia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20205,San Juan Lalana,,0,0,0,0,0,0,0,0,0,0,0,0,4354,0,0,168,0,0,0,0,0,0
20206,San Juan de los Cués,,0,0,0,0,0,0,0,2590,0,0,0,0,0,0,0,0,0,0,0,0,292,0
20207,San Juan Mazatlán,,0,0,444,0,3787,3195,0,21,5781,353,14284,10773,7603,0,263,4941,106,4411,5262,4019,4767,5492
20208,San Juan Mixtepec,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122988,72406
20209,San Juan Mixtepec,,0,0,0,0,10339,14495,18481,8795,0,0,0,0,0,0,0,0,0,0,0,0,3073,5374
20210,San Juan Ñumí,,0,500,0,0,0,0,0,0,0,0,0,401,0,0,0,0,474,1407,3904,2383,36343,16111
20211,San Juan Ozolotepec,,14476,0,0,23352,0,16806,0,0,0,0,0,0,0,0,2335,6970,0,10472,14533,14668,20844,30165
20212,San Juan Petlapa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20213,San Juan Quiahije,,19452,0,0,10374,29221,6174,13838,0,0,0,0,0,0,0,0,0,0,0,524,2843,0,18358
20214,San Juan Quiotepec,,10938,0,5956,3413,8330,0,0,0,2341,11633,1453,9802,0,880,16323,0,0,14767,16102,19922,17806,24704
